BBC's Big Read (2003 Poll),
"1. The Lord of the Rings, JRR Tolkien","51. The Secret Garden, Frances Hodgson Burnett"
"2. Pride and Prejudice, Jane Austen","52. Of Mice And Men, John Steinbeck"
"3. His Dark Materials, Philip Pullman","53. The Stand, Stephen King"
"4. The Hitchhiker's Guide to the Galaxy, Douglas Adams","54. Anna Karenina, Leo Tolstoy"
"5. Harry Potter and the Goblet of Fire, JK Rowling","55. A Suitable Boy, Vikram Seth"
"6. To Kill a Mockingbird, Harper Lee","56. The BFG, Roald Dahl"
"7. Winnie the Pooh, AA Milne","57. Swallows And Amazons, Arthur Ransome"
"8. Nineteen Eighty-Four, George Orwell","58. Black Beauty, Anna Sewell"
"9. The Lion, the Witch and the Wardrobe, CS Lewis","59. Artemis Fowl, Eoin Colfer"
"10. Jane Eyre, Charlotte Brontë","60. Crime And Punishment, Fyodor Dostoyevsky"
"11. Catch-22, Joseph Heller","61. Noughts And Crosses, Malorie Blackman"
"12. Wuthering Heights, Emily Brontë","62. Memoirs Of A Geisha, Arthur Golden"
"13. Birdsong, Sebastian Faulks","63. A Tale Of Two Cities, Charles Dickens"
"14. Rebecca, Daphne du Maurier","64. The Thorn Birds, Colleen McCollough"
"15. The Catcher in the Rye, JD Salinger","65. Mort, Terry Pratchett"
"16. The Wind in the Willows, Kenneth Grahame","66. The Magic Faraway Tree, Enid Blyton"
"17. Great Expectations, Charles Dickens","67. The Magus, John Fowles"
"18. Little Women, Louisa May Alcott","68. Good Omens, Terry Pratchett and Neil Gaiman"
"19. Captain Corelli's Mandolin, Louis de Bernieres","69. Guards! Guards!, Terry Pratchett"
"20. War and Peace, Leo Tolstoy","70. Lord Of The Flies, William Golding"
"21. Gone with the Wind, Margaret Mitchell","71. Perfume, Patrick Süskind"
"22. Harry Potter And The Philosopher's Stone, JK Rowling","72. The Ragged Trousered Philanthropists, Robert Tressell"
"23. Harry Potter And The Chamber Of Secrets, JK Rowling","73. Night Watch, Terry Pratchett"
"24. Harry Potter And The Prisoner Of Azkaban, JK Rowling","74. Matilda, Roald Dahl"
"25. The Hobbit, JRR Tolkien","75. Bridget Jones's Diary, Helen Fielding"
"26. Tess Of The D'Urbervilles, Thomas Hardy","76. The Secret History, Donna Tartt"
"27. Middlemarch, George Eliot","77. The Woman In White, Wilkie Collins"
"28. A Prayer For Owen Meany, John Irving","78. Ulysses, James Joyce"
"29. The Grapes Of Wrath, John Steinbeck","79. Bleak House, Charles Dickens"
"30. Alice's Adventures In Wonderland, Lewis Carroll","80. Double Act, Jacqueline Wilson"
"31. The Story Of Tracy Beaker, Jacqueline Wilson","81. The Twits, Roald Dahl"
"32. One Hundred Years Of Solitude, Gabriel García Márquez","82. I Capture The Castle, Dodie Smith"
"33. The Pillars Of The Earth, Ken Follett","83. Holes, Louis Sachar"
"34. David Copperfield, Charles Dickens","84. Gormenghast, Mervyn Peake"
"35. Charlie And The Chocolate Factory, Roald Dahl","85. The God Of Small Things, Arundhati Roy"
"36. Treasure Island, Robert Louis Stevenson","86. Vicky Angel, Jacqueline Wilson"
"37. A Town Like Alice, Nevil Shute","87. Brave New World, Aldous Huxley"
"38. Persuasion, Jane Austen","88. Cold Comfort Farm, Stella Gibbons"
"39. Dune, Frank Herbert","89. Magician, Raymond E Feist"
"40. Emma, Jane Austen","90. On The Road, Jack Kerouac"
"41. Anne Of Green Gables, LM Montgomery","91. The Godfather, Mario Puzo"
"42. Watership Down, Richard Adams","92. The Clan Of The Cave Bear, Jean M Auel"
"43. The Great Gatsby, F Scott Fitzgerald","93. The Colour Of Magic, Terry Pratchett"
"44. The Count Of Monte Cristo, Alexandre Dumas","94. The Alchemist, Paulo Coelho"
"45. Brideshead Revisited, Evelyn Waugh","95. Katherine, Anya Seton"
"46. Animal Farm, George Orwell","96. Kane And Abel, Jeffrey Archer"
"47. A Christmas Carol, Charles Dickens","97. Love In The Time Of Cholera, Gabriel García Márquez"
"48. Far From The Madding Crowd, Thomas Hardy","98. Girls In Love, Jacqueline Wilson"
"49. Goodnight Mister Tom, Michelle Magorian","99. The Princess Diaries, Meg Cabot"
"50. The Shell Seekers, Rosamunde Pilcher ","100. Midnight's Children, Salman Rushdie  "
,
"101. Three Men In A Boat, Jerome K. Jerome","151. Soul Music, Terry Pratchett"
"102. Small Gods, Terry Pratchett","152. Thief Of Time, Terry Pratchett"
"103. The Beach, Alex Garland","153. The Fifth Elephant, Terry Pratchett"
"104. Dracula, Bram Stoker","154. Atonement, Ian McEwan"
"105. Point Blanc, Anthony Horowitz","155. Secrets, Jacqueline Wilson"
"106. The Pickwick Papers, Charles Dickens","156. The Silver Sword, Ian Serraillier"
"107. Stormbreaker, Anthony Horowitz","157. One Flew Over The Cuckoo's Nest, Ken Kesey"
"108. The Wasp Factory, Iain Banks","158. Heart Of Darkness, Joseph Conrad"
"109. The Day Of The Jackal, Frederick Forsyth","159. Kim, Rudyard Kipling"
"110. The Illustrated Mum, Jacqueline Wilson","160. Cross Stitch, Diana Gabaldon"
"111. Jude The Obscure, Thomas Hardy","161. Moby Dick, Herman Melville"
"112. The Secret Diary Of Adrian Mole Aged 13¾, Sue Townsend","162. River God, Wilbur Smith"
"113. The Cruel Sea, Nicholas Monsarrat","163. Sunset Song, Lewis Grassic Gibbon"
"114. Les Misérables, Victor Hugo","164. The Shipping News, Annie Proulx"
"115. The Mayor Of Casterbridge, Thomas Hardy","165. The World According To Garp, John Irving"
"116. The Dare Game, Jacqueline Wilson","166. Lorna Doone, R. D. Blackmore"
"117. Bad Girls, Jacqueline Wilson","167. Girls Out Late, Jacqueline Wilson"
"118. The Picture Of Dorian Gray, Oscar Wilde","168. The Far Pavilions, M. M. Kaye"
"119. Shogun, James Clavell","169. The Witches, Roald Dahl"
"120. The Day Of The Triffids, John Wyndham","170. Charlotte's Web, E. B. White"
"121. Lola Rose, Jacqueline Wilson","171. Frankenstein, Mary Shelley"
